entry	compatibility_requirement	evidence_source	extension_constraint	validation_method	classification	safe_boundary_rule
0023	Default DMA address	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0024	Command-tail/default-DMA overlap	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0025	Program termination through JMP 0000h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0026	Program termination through BDOS function 0	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0027	RET termination	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0028	Valid entry return word	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extensions must preserve this CP/M-visible observation	MEM-001,MEM-005,CCP-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0029	Exact entry SP	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	No CP/M requirement to reproduce this private/incidental mechanism	MEM-001,MEM-005,CCP-003	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0030	Exact entry return address	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	No CP/M requirement to reproduce this private/incidental mechanism	MEM-001,MEM-005,CCP-003	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0031	General-register entry state	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extension may vary this result within the ledger boundary	MEM-001,MEM-005,CCP-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0032	Z80 extended-register entry state	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extension may vary this result within the ledger boundary	MEM-001,MEM-005,CCP-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0033	Entry flags and interrupt state	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Extension may vary this result within the ledger boundary	MEM-001,MEM-005,CCP-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0034	Exact BIOS/BDOS vector targets	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CALL-001	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0035	BDOS function selector in C	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0036	BDOS function-specific input in DE/E	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0037	Byte result in A	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0038	Word result in HL	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0039	Normal-return alias A=L	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0040	Normal-return alias B=H	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0041	CP/M 2.2 BDOS selector range	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0042	Out-of-range BDOS result	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0043	Caller SP restored on returning BDOS calls	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extensions must preserve this CP/M-visible observation	BDOS-CALL-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0044	DRI private BDOS stack mechanism	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CALL-001	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0045	AF preservation across BDOS	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extension may vary this result within the ledger boundary	BDOS-CALL-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0046	BC preservation across BDOS	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extension may vary this result within the ledger boundary	BDOS-CALL-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0047	DE preservation across BDOS	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extension may vary this result within the ledger boundary	BDOS-CALL-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0048	HL preservation across BDOS	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extension may vary this result within the ledger boundary	BDOS-CALL-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0049	Z80-only and alternate-register preservation	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	Extension may vary this result within the ledger boundary	BDOS-CALL-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0050	Valid-call C becomes input E	002 - CP/M 2.2 BDOS Call and Return Convention; I052 BDOS-CALL-001	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CALL-001	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0051	Observed BDOS return flags	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CON-001	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0052	Function 2 character source	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0053	Function 2 treats '$' as ordinary data	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0054	Function 9 string address	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0055	Function 9 '$' termination	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0056	Function 9 terminator is not emitted	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0057	Function 9 empty string	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0058	Function 9 scans across ordinary control characters	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0059	Function 2 uses formatted console output	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0060	Function 9 uses formatted console output	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0061	Shared formatted-output state	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0062	TAB expansion	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0063	Function 2 participates in scrolling control	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0064	Function 9 participates in scrolling control	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0065	Function 2 participates in active printer echo	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0066	Function 9 participates in active printer echo	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extensions must preserve this CP/M-visible observation	BDOS-CON-001	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0067	Function 2 has no function-specific return value	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension may vary this result within the ledger boundary	BDOS-CON-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0068	Function 9 has no function-specific return value	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension may vary this result within the ledger boundary	BDOS-CON-001	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0069	Exact logical-column update rules	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-001	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0070	LF resets DRI logical column	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-001	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0071	CR does not reset DRI logical column	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-001	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0072	Pending-key buffering during formatted output	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-001	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0073	Ctrl-C behavior after output pause	003 - CP/M 2.2 BDOS Console Output and String Output Semantics; I052 BDOS-CON-001	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-001	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0074	DRI private formatted-output implementation state	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CON-002,BDOS-CON-005	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0075	Function 6 direct-output selection	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0076	Function 6 direct-output character source	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0077	Function 6 direct output does not expand TAB	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0078	Function 6 direct output bypasses Ctrl-S scrolling control	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0079	Function 6 direct output bypasses Ctrl-P printer echo	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0080	Function 6 direct output has no function-specific result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extension may vary this result within the ledger boundary	BDOS-CON-002,BDOS-CON-005	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0081	Function 6 nonblocking-input selection	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0082	Function 6 no-input result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0083	Function 6 ready-input result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0084	Function 6 input is unadorned	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0085	Function 11 not-ready result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extensions must preserve this CP/M-visible observation	BDOS-CON-002,BDOS-CON-005	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0086	Exact function 11 ready result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-002,BDOS-CON-005	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0087	Function 11 pending-byte retention	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-002,BDOS-CON-005	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0088	DRI function 6 ignores retained pending byte	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-002,BDOS-CON-005	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0089	DRI function 6 E=FEh behavior	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics; I052 BDOS-CON-002,BDOS-CON-005	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CON-002,BDOS-CON-005	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0090	DRI private pending-byte representation	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CON-003	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0091	Function 1 selector	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0092	Function 1 blocking behavior	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0093	Function 1 result character	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0094	Function 1 echoes graphic characters	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0095	Function 1 echoes CR	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0096	Function 1 echoes LF	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0097	Function 1 echoes backspace	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0098	Function 1 TAB echo expansion	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0099	Function 1 ordinary controls are not echoed	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0100	Function 1 echo uses shared formatted-console state	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0101	Function 1 echo participates in scrolling control	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0102	Function 1 echo participates in active printer echo	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extensions must preserve this CP/M-visible observation	BDOS-CON-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0103	Function-1 Ctrl-P printer-echo state change	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-003	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0104	Function 1 consumes function-11-retained input	005 - CP/M 2.2 BDOS Console Input and Echo Semantics; I052 BDOS-CON-003	Extension must not silently choose or expose this unresolved behavior	BDOS-CON-003	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0105	DRI private function-1 implementation details	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-CON-004	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0106	Function 10 selector and buffer address	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	Extensions must preserve this CP/M-visible observation	BDOS-CON-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0107	Function 10 maximum byte	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics; I052 BDOS-CON-004	Extensions must preserve this CP/M-visible observation	BDOS-CON-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
